"ID";"NumberOfParkingMeter";"global_id";"AdmArea";"District";"StreetName";"Location";"longitude";"latitude";"ParkingZoneNumber";"geoData";
"1592";"Паркомат № 2169";"282084364";"Центральный административный округ";"Тверской район";"площадь Тверская Застава";"площадь Тверская Застава, дом 3";"37.582638";"55.775616";"0304";"{type=Point, coordinates=[37.5826380306839, 55.7756156317497]}";
"1593";"Паркомат № 2171";"282084365";"Центральный административный округ";"район Хамовники";"Пречистенский переулок";"Пречистенский переулок, дом 10";"37.593469279762";"55.743769274846";"2101";"{type=Point, coordinates=[37.5934693105786, 55.7437689065502]}";
"1594";"Паркомат № 2174";"282084366";"Центральный административный округ";"район Арбат";"переулок Сивцев Вражек";"переулок Сивцев Вражек, дом 33";"37.589645526984";"55.747025322633";"2101";"{type=Point, coordinates=[37.5896455575996, 55.7470249545725]}";
"1595";"Паркомат № 2176";"282084367";"Центральный административный округ";"район Арбат";"переулок Сивцев Вражек";"переулок Сивцев Вражек, напротив дома 15";"37.594456911639";"55.747622286145";"2102";"{type=Point, coordinates=[37.5944569425824, 55.7476219175727]}";
"1596";"Паркомат № 2177";"282084368";"Центральный административный округ";"район Арбат";"переулок Сивцев Вражек";"переулок Сивцев Вражек, напротив дома 41";"37.587263611639";"55.74680258899";"2102";"{type=Point, coordinates=[37.5872636426083, 55.7468022205729]}";
"1597";"Паркомат № 2178";"282084370";"Центральный административный округ";"Пресненский район";"Прокудинский переулок";"Прокудинский переулок, дом 3";"37.568633";"55.760136";"3203";"{type=Point, coordinates=[37.5686330307072, 55.7601356316664]}";
"1598";"Паркомат № 2181";"282084371";"Центральный административный округ";"Пресненский район";"Зоологическая улица";"Зоологическая улица, дом 12, корпус 2";"37.582251";"55.764322";"3203";"{type=Point, coordinates=[37.5822510306628, 55.7643216316819]}";
"1599";"Паркомат № 2184";"282084372";"Центральный административный округ";"Пресненский район";"Спиридоньевский переулок";"Спиридоньевский переулок, дом 8";"37.594578882803";"55.762317581482";"2103";"{type=Point, coordinates=[37.5945789136108, 55.7623172126611]}";
"1600";"Паркомат № 2186";"282084373";"Центральный административный округ";"Басманный район";"Токмаков переулок";"Токмаков переулок, дом 13/15";"37.670202";"55.765946";"3207";"{type=Point, coordinates=[37.670202030821, 55.7659456316281]}";
"1601";"Паркомат № 2187";"282084374";"Центральный административный округ";"Пресненский район";"Большая Никитская улица";"Большая Никитская улица, дом 33, строение 1";"37.596294";"55.757242";"0303";"{type=Point, coordinates=[37.5962940305941, 55.7572416316293]}";
"1602";"Паркомат № 2188";"282084376";"Центральный административный округ";"район Арбат";"Троилинский переулок";"Троилинский переулок, дом 4/7";"37.5841588";"55.7485616";"2102";"{type=Point, coordinates=[37.5841588306237, 55.7485612315857]}";
"1603";"Паркомат № 2189";"282084377";"Центральный административный округ";"район Арбат";"Трубниковский переулок";"Трубниковский переулок, дом 15, строение 1";"37.5866635";"55.7544209";"2102";"{type=Point, coordinates=[37.5866635306258, 55.7544205316192]}";
"1604";"Паркомат № 2191";"282084378";"Центральный административный округ";"район Арбат";"Хлебный переулок";"Хлебный переулок, напротив дома 14";"37.594539559524";"55.755332261146";"2102";"{type=Point, coordinates=[37.5945395905972, 55.755331892619]}";
"1605";"Паркомат № 2192";"282084379";"Центральный административный округ";"Пресненский район";"Шмитовский проезд";"Шмитовский проезд, дом 20, строение 2";"37.542536";"55.756895";"0303";"{type=Point, coordinates=[37.5425360305088, 55.7568946316658]}";
"1606";"Паркомат № 2194";"282084381";"Центральный административный округ";"район Хамовники";"Хрущёвский переулок";"Хрущёвский переулок, дом 5";"37.59629408102";"55.744411743197";"2101";"{type=Point, coordinates=[37.596294111569, 55.7444113745521]}";
